start,end,activity
2024-07-19 20:05:00,2024-07-19 20:12:00,S
2024-07-19 20:38:00,2024-07-19 21:05:00,A
2024-07-19 21:09:00,2024-07-19 21:15:00,P
2024-07-20 08:05:00,2024-07-20 08:15:00,T
2024-07-20 08:15:00,2024-07-20 08:22:00,H
2024-07-20 08:22:00,2024-07-20 08:45:00,S
2024-07-20 08:45:00,2024-07-20 09:15:00,A
2024-07-20 09:15:00,2024-07-20 10:00:00,P
2024-07-20 14:00:00,2024-07-20 14:38:00,A
2024-07-20 19:30:00,2024-07-20 20:00:00,T
2024-07-20 20:00:00,2024-07-20 21:40:00,A
2024-07-21 09:40:00,2024-07-21 10:50:00,A
2024-07-21 11:08:00,2024-07-21 11:15:00,H
2024-07-21 13:28:00,2024-07-21 13:48:00,A
2024-07-21 16:45:00,2024-07-21 17:15:00,M
2024-07-21 17:16:00,2024-07-21 17:30:00,S
2024-07-21 20:46:00,2024-07-21 21:00:00,A
2024-07-21 21:01:00,2024-07-21 21:05:00,P
2024-07-22 07:14:00,2024-07-22 07:28:00,S
2024-07-22 07:29:00,2024-07-22 07:39:00,H
2024-07-22 07:44:00,2024-07-22 08:03:00,A
2024-07-22 13:30:00,2024-07-22 13:35:00,P
2024-07-22 13:35:00,2024-07-22 14:24:00,A
2024-07-22 14:25:00,2024-07-22 14:30:00,P
2024-07-23 00:00:00,2024-07-23 00:07:00,H
2024-07-23 07:15:00,2024-07-23 07:30:00,S
2024-07-23 07:31:00,2024-07-23 07:35:00,H
2024-07-23 07:40:00,2024-07-23 08:15:00,A
2024-07-23 08:40:00,2024-07-23 13:15:00,M
2024-07-23 13:15:00,2024-07-23 14:00:00,A
2024-07-23 14:00:00,2024-07-23 19:00:00,M
2024-07-23 20:30:00,2024-07-23 21:18:00,A
2024-07-23 21:20:00,2024-07-23 21:50:00,T
2024-07-24 07:36:00,2024-07-24 07:44:00,S
2024-07-24 07:45:00,2024-07-24 08:18:00,A
2024-07-24 08:19:00,2024-07-24 08:31:00,P
2024-07-24 13:30:00,2024-07-24 13:35:00,P
2024-07-24 13:35:00,2024-07-24 14:05:00,A
2024-07-24 14:05:00,2024-07-24 14:10:00,P
2024-07-24 16:40:00,2024-07-24 18:10:00,kiné
2024-07-24 20:02:00,2024-07-24 20:07:00,P
2024-07-24 20:07:00,2024-07-24 20:39:00,A
2024-07-24 20:39:00,2024-07-24 20:44:00,P
